# layout 1

cell(1, 1, b, u)
cell(1, 2, b, u)
cell(1, 3, mine, u)
cell(1, 4, b, u)
cell(1, 5, b, u)
cell(1, 6, b, u)
cell(1, 7, b, u)
cell(1, 8, b, u)
cell(1, 9, b, u)
cell(2, 1, b, u)
cell(2, 2, b, u)
cell(2, 3, b, u)
cell(2, 4, b, u)
cell(2, 5, b, u)
cell(2, 6, b, u)
cell(2, 7, b, u)
cell(2, 8, mine, u)
cell(2, 9, b, u)
cell(3, 1, b, u)
cell(3, 2, b, u)
cell(3, 3, b, u)
cell(3, 4, mine, u)
cell(3, 5, b, u)
cell(3, 6, b, u)
cell(3, 7, b, u)
cell(3, 8, b, u)
cell(3, 9, b, u)
cell(4, 1, b, u)
cell(4, 2, b, u)
cell(4, 3, b, u)
cell(4, 4, b, u)
cell(4, 5, b, u)
cell(4, 6, b, u)
cell(4, 7, b, u)
cell(4, 8, b, u)
cell(4, 9, b, u)
cell(5, 1, b, u)
cell(5, 2, b, u)
cell(5, 3, b, u)
cell(5, 4, b, u)
cell(5, 5, b, u)
cell(5, 6, b, u)
cell(5, 7, b, u)
cell(5, 8, b, u)
cell(5, 9, b, u)
cell(6, 1, b, u)
cell(6, 2, b, u)
cell(6, 3, b, u)
cell(6, 4, mine, u)
cell(6, 5, b, u)
cell(6, 6, b, u)
cell(6, 7, b, u)
cell(6, 8, mine, u)
cell(6, 9, mine, u)
cell(7, 1, b, u)
cell(7, 2, b, u)
cell(7, 3, b, u)
cell(7, 4, b, u)
cell(7, 5, b, u)
cell(7, 6, b, u)
cell(7, 7, b, u)
cell(7, 8, b, u)
cell(7, 9, b, u)
cell(8, 1, b, u)
cell(8, 2, b, u)
cell(8, 3, b, u)
cell(8, 4, b, u)
cell(8, 5, b, u)
cell(8, 6, mine, u)
cell(8, 7, b, u)
cell(8, 8, b, u)
cell(8, 9, b, u)
cell(9, 1, b, u)
cell(9, 2, b, u)
cell(9, 3, b, u)
cell(9, 4, b, u)
cell(9, 5, mine, u)
cell(9, 6, mine, u)
cell(9, 7, b, u)
cell(9, 8, b, u)
cell(9, 9, mine, u)

# layout 2
cell(1, 1, b, u)
cell(1, 2, b, u)
cell(1, 3, mine, u)
cell(1, 4, b, u)
cell(1, 5, b, u)
cell(1, 6, b, u)
cell(1, 7, b, u)
cell(1, 8, b, u)
cell(1, 9, b, u)
cell(2, 1, b, u)
cell(2, 2, b, u)
cell(2, 3, b, u)
cell(2, 4, b, u)
cell(2, 5, b, u)
cell(2, 6, b, u)
cell(2, 7, b, u)
cell(2, 8, mine, u)
cell(2, 9, b, u)
cell(3, 1, b, u)
cell(3, 2, b, u)
cell(3, 3, b, u)
cell(3, 4, mine, u)
cell(3, 5, b, u)
cell(3, 6, b, u)
cell(3, 7, b, u)
cell(3, 8, b, u)
cell(3, 9, b, u)
cell(4, 1, b, u)
cell(4, 2, b, u)
cell(4, 3, b, u)
cell(4, 4, b, u)
cell(4, 5, b, u)
cell(4, 6, b, u)
cell(4, 7, b, u)
cell(4, 8, b, u)
cell(4, 9, b, u)
cell(5, 1, b, u)
cell(5, 2, b, u)
cell(5, 3, b, u)
cell(5, 4, b, u)
cell(5, 5, b, u)
cell(5, 6, b, u)
cell(5, 7, b, u)
cell(5, 8, b, u)
cell(5, 9, b, u)
cell(6, 1, b, u)
cell(6, 2, b, u)
cell(6, 3, b, u)
cell(6, 4, mine, u)
cell(6, 5, b, u)
cell(6, 6, b, u)
cell(6, 7, b, u)
cell(6, 8, mine, u)
cell(6, 9, mine, u)
cell(7, 1, b, u)
cell(7, 2, b, u)
cell(7, 3, b, u)
cell(7, 4, b, u)
cell(7, 5, b, u)
cell(7, 6, b, u)
cell(7, 7, b, u)
cell(7, 8, b, u)
cell(7, 9, b, u)
cell(8, 1, b, u)
cell(8, 2, b, u)
cell(8, 3, b, u)
cell(8, 4, b, u)
cell(8, 5, b, u)
cell(8, 6, mine, u)
cell(8, 7, b, u)
